file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,72,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,10
style.css,73,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,13
style.css,74,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,59
style.css,75,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,8
style.css,76,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,0
style.css,77,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,0
style.css,78,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,8
style.css,79,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,13
style.css,80,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,27
style.css,81,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,16
style.css,82,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,8
style.css,83,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,0
style.css,84,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,0
style.css,85,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,11
style.css,86,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,9
style.css,87,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,0
style.css,88,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,0
style.css,89,css,891cddb5,Owen Yang,2025-01-18,18:16:57,-08:00,2025-01-18T18:16:57-08:00,0,3
style.css,90,css,da28c96d,Owen Yang,2025-01-25,18:19:42,-08:00,2025-01-25T18:19:42-08:00,0,15
